epoch,acc,loss,val_acc,val_loss
0,0.5295000076293945,0.7852542400360107,0.5580000281333923,0.6793426275253296
1,0.5824999809265137,0.686734139919281,0.6449999809265137,0.6548931002616882
2,0.6085000038146973,0.6617281436920166,0.6309999823570251,0.6352711319923401
3,0.6499999761581421,0.6472079753875732,0.6460000276565552,0.6157506108283997
4,0.6434999704360962,0.6408408284187317,0.6869999766349792,0.5830018520355225
5,0.6694999933242798,0.619418740272522,0.6840000152587891,0.580771803855896
6,0.6664999723434448,0.6160980463027954,0.7089999914169312,0.557955265045166
7,0.675000011920929,0.614547073841095,0.6880000233650208,0.6056756973266602
8,0.6729999780654907,0.6062613725662231,0.7160000205039978,0.5530940890312195
9,0.6924999952316284,0.5980664491653442,0.625,0.6972213387489319
10,0.6850000023841858,0.5987482070922852,0.7179999947547913,0.5480568408966064
11,0.6834999918937683,0.6019675731658936,0.7390000224113464,0.5228859782218933
12,0.6990000009536743,0.5764405727386475,0.7310000061988831,0.540479838848114
13,0.6859999895095825,0.5933277010917664,0.7110000252723694,0.5823831558227539
14,0.6924999952316284,0.5785139799118042,0.7289999723434448,0.5534237623214722
15,0.7005000114440918,0.575414776802063,0.7459999918937683,0.5219431519508362
16,0.6984999775886536,0.5737074613571167,0.7250000238418579,0.5489181280136108
17,0.7110000252723694,0.5741037130355835,0.7519999742507935,0.5141072273254395
18,0.7294999957084656,0.5563724040985107,0.7509999871253967,0.5171276330947876
19,0.7360000014305115,0.56087327003479,0.7509999871253967,0.5041911005973816
20,0.7149999737739563,0.5578917264938354,0.7519999742507935,0.512959361076355
21,0.7369999885559082,0.5489554405212402,0.7310000061988831,0.5150547027587891
22,0.7354999780654907,0.5436487197875977,0.7379999756813049,0.5467643141746521
23,0.7260000109672546,0.5477670431137085,0.7639999985694885,0.49858373403549194
24,0.7245000004768372,0.5637882947921753,0.7099999785423279,0.5854870676994324
25,0.7269999980926514,0.5471052527427673,0.7329999804496765,0.5276398062705994
26,0.7434999942779541,0.5483994483947754,0.7760000228881836,0.5142505764961243
27,0.7369999885559082,0.5334548354148865,0.7699999809265137,0.4991016983985901
28,0.7294999957084656,0.5697187781333923,0.7649999856948853,0.5009305477142334
29,0.7384999990463257,0.5295903086662292,0.7820000052452087,0.4911693036556244
30,0.7279999852180481,0.5417422652244568,0.7739999890327454,0.48125478625297546
31,0.734499990940094,0.5297774076461792,0.7910000085830688,0.4823805093765259
32,0.7429999709129333,0.5326851606369019,0.7599999904632568,0.4832553267478943
33,0.7365000247955322,0.5246340036392212,0.7839999794960022,0.46945396065711975
34,0.7480000257492065,0.5344365239143372,0.7400000095367432,0.5887912511825562
35,0.7425000071525574,0.5395327806472778,0.7630000114440918,0.4918164312839508
36,0.7515000104904175,0.5128191709518433,0.718999981880188,0.6095027923583984
37,0.7494999766349792,0.5307183861732483,0.7789999842643738,0.4846615493297577
38,0.7409999966621399,0.5194810032844543,0.7409999966621399,0.5227418541908264
39,0.7519999742507935,0.5154495239257812,0.7239999771118164,0.5585833787918091
40,0.75,0.5155988931655884,0.8019999861717224,0.46020177006721497
41,0.7484999895095825,0.5120683908462524,0.7310000061988831,0.575360119342804
42,0.7544999718666077,0.5199683308601379,0.7720000147819519,0.48951756954193115
43,0.7465000152587891,0.5211539268493652,0.7770000100135803,0.48743075132369995
44,0.7494999766349792,0.5308820009231567,0.7839999794960022,0.4965275824069977
45,0.7490000128746033,0.527254045009613,0.7910000085830688,0.4631485939025879
46,0.7584999799728394,0.5078065991401672,0.7480000257492065,0.5418098568916321
47,0.753000020980835,0.5134276747703552,0.7850000262260437,0.5046429634094238
48,0.7630000114440918,0.5014500617980957,0.7889999747276306,0.47636136412620544
49,0.7459999918937683,0.5083733201026917,0.8040000200271606,0.4549206495285034
50,0.7595000267028809,0.5013470649719238,0.8109999895095825,0.4530165493488312
51,0.7699999809265137,0.5053368210792542,0.7490000128746033,0.5029313564300537
52,0.7689999938011169,0.510190486907959,0.7820000052452087,0.4911699593067169
53,0.7670000195503235,0.49373123049736023,0.7889999747276306,0.4743201732635498
54,0.7695000171661377,0.4994984567165375,0.777999997138977,0.5016829967498779
55,0.762499988079071,0.5066909193992615,0.7649999856948853,0.4948618412017822
56,0.7670000195503235,0.4997399151325226,0.7620000243186951,0.5439017415046692
57,0.7664999961853027,0.5003747344017029,0.7580000162124634,0.5198290944099426
58,0.7789999842643738,0.48170721530914307,0.777999997138977,0.5045546293258667
59,0.7689999938011169,0.4963764548301697,0.7730000019073486,0.4832850396633148
